735972.1250,  -8.70,   3.10
735972.1667,  -9.40,   3.20
735972.2083, -10.10,   3.10
735972.2500, -10.60,   3.40
735972.2917, -11.20,   3.50
735972.3333, -11.50,   3.40
735972.3750, -12.00,   3.10
735972.4167, -12.20,   2.80
735972.4583, -12.40,   2.80
735972.5000, -12.30,   2.60
735972.5417, -11.30,   2.30
735972.5833, -10.10,   2.20
735972.6250,  -9.00,   2.70
735972.6667,  -8.80,   2.40
735972.7083,  -7.70,   1.90
735972.7500,  -7.00,   1.70
735972.7917,  -6.80,   1.70
735972.8333,  -6.40,   1.90
735972.8750,  -7.20,   2.20
735972.9167,  -7.80,   2.10
735972.9583,  -8.10,   2.10
735973.0000,  -8.10,   2.10
735973.0417,  -7.70,   1.80
735973.0833,  -6.00,   1.80
735973.1250,  -4.90,   1.50
735973.1667,  -3.90,   2.10
735973.2083,  -2.50,   0.80
735973.2500,  -1.90,   1.40
735973.2917,  -1.10,   2.30
735973.3333,  -0.80,   2.60
735973.3750,  -0.50,   2.60
735973.4167,  -0.10,   2.60
735973.4583,   0.70,   2.40
735973.5000,   0.70,   1.60
735973.5417,   0.20,   0.90
735973.5833,  -0.10,   1.60
735973.6250,  -0.50,   3.20
735973.6667,  -0.70,   3.50
735973.7083,   0.50,   3.70
735973.7500,   1.00,   3.90
735973.7917,   2.00,   3.90
735973.8333,   1.70,   3.70
735973.8750,   1.80,   3.50
735973.9167,   0.90,   3.30
735973.9583,   0.50,   3.20
735974.0000,  -0.30,   3.10
735974.0417,  -0.90,   3.20
735974.0833,  -1.40,   3.30
735974.1250,  -2.00,   3.00
735974.1667,  -2.30,   2.80
735974.2083,  -3.10,   2.60
735974.2500,  -3.80,   2.60
735974.2917,  -4.50,   2.70
735974.3333,  -5.00,   2.60
735974.3750,  -5.70,   2.70
735974.4167,  -6.50,   2.80
735974.4583,  -7.00,   2.80
735974.5000,  -7.60,   3.00
735974.5417,  -7.30,   2.50
735974.5833,  -7.00,   3.00
735974.6250,  -6.30,   2.80
735974.6667,  -5.80,   2.40
735974.7083,  -5.60,   2.60
735974.7500,  -4.90,   2.80
735974.7917,  -4.90,   3.20
735974.8333,  -5.00,   3.20
735974.8750,  -5.10,   3.10
735974.9167,  -5.80,   3.10
735974.9583,  -6.30,   3.00
735975.0000,  -6.80,   2.90
735975.0417,  -6.90,   2.60
735975.0833,  -7.10,   2.40
735975.1250,  -7.20,   2.60
735975.1667,  -6.90,   1.90
735975.2083,  -6.90,   2.20
735975.2500,  -6.80,   2.10
